case_count,case_count_quote,patient_age,patient_age_quote,patient_sex,patient_sex_quote,presenting_symptoms,presenting_symptoms_quote,diagnostic_method,diagnostic_method_quote,imaging_findings,imaging_findings_quote,histopathology,histopathology_quote,immunohistochemistry,immunohistochemistry_quote,treatment,treatment_quote,outcome,outcome_quote,comorbidities,comorbidities_quote,filename,extraction_confidence,extraction_notes
25,"These 15 articles described 25 patients with diffuse bilateral nodules on computed tomography (CT) imaging, and biopsy confirmed pulmonary meningothelial-like nodules consistent with the diagnosis of DPM.","37, 53, 64, 56","37/F, 53/F, 64/F, 56/F",Female,"37/F, 53/F, 64/F, 56/F","Asymptomatic in majority, some with dyspnea and cough","In 15 cases (60%), no respiratory complaints were described (12 asymptomatic and three none reported), and DPM was discovered only as an incidental finding on chest X-ray or chest CT imaging performed for another reason... the minority of patients (eight cases; 32%) had unexplained respiratory complaints consisting of primarily dyspnea and/or cough.",CT imaging and biopsy (surgical or transbronchial),"These 15 articles described 25 patients with diffuse bilateral nodules on computed tomography (CT) imaging, and biopsy confirmed pulmonary meningothelial-like nodules","Diffuse bilateral ground glass nodules or micronodules, sometimes innumerable with miliary pattern, occasionally having apical basal gradient with apical predominance","Chest CT often showed diffuse bilateral ground glass nodules or micronodules. In some cases, these nodules were described as innumerable, miliary pattern, or occasionally having an apical basal gradient with apical predominance","Aggregates of large cells with abundant pale pink cytoplasm in perivenular distribution. Cells are uniform, oval or spindle, with slightly indented round to oval inconspicuous nuclei, separated by thin collagen fibers. Electronic microscopy shows cells with intercellular desmosomes.","By light microscopy, specimens of lung parenchyma obtained by either surgical biopsy or transbronchial biopsy reveal aggregates of large cells with abundant pale pink cytoplasm usually in a perivenular distribution. The cells are uniform, oval or spindle, have slightly indented round to oval inconspicuous nuclei, and are separated by thin collagen fibers. Electronic microscopy shows cells with intercellular desmosomes and features reminiscent of meningioma cells.","Positive for progesterone receptor, epithelial membrane antigen, and vimentin. Negative for pankeratin, synaptophysin, chromogranin, S100, TTF-1, GATA3, estrogen receptor, AE1/AE3, muscle specific actin, CD34, HMB45, and CD68.","Immunohistochemical evaluation shows them to be positive for progesterone receptor, epithelial membrane antigen, and vimentin. They are typically negative for pankeratin, synaptophysin, chromogranin, S100, TTF-1, GATA3, estrogen receptor, AE1/AE3, muscle specific actin, CD34, HMB45, and CD68.",,,Not reported,,"History of or active malignancy (breast, colon, liver carcinomas, carcinoid tumors, uterine leiomyosarcoma), pulmonary embolism, pulmonary cryptococcus, hypersensitivity pneumonitis, ulcerative colitis, and infective endocarditis","History of or active malignancy including carcinomas of the breast, colon, liver, carcinoid tumors, and uterine leiomyosarcoma was documented in 11 (44%) of the patients. Other reported concurrent conditions included pulmonary embolism, pulmonary cryptococcus, hypersensitivity pneumonitis, ulcerative colitis, and infective endocarditis.",Gleason et al. - 2017 - Diffuse pulmonary meningotheliomatosis A literature review of a rare diffuse parenchymal lung disea 1.pdf,,
1,,Not reported,,Not reported,,"Recurrent chest infections, cough, wheezing","""Over the last few years, I noticed an increase in my attendance to my local doctor for chest infections"", ""I still have an occasional cough"", ""I feel a little wheezy at times""",Surgery (biopsy),"After my scan, I was very nervous about going ahead with surgery",Not reported,,Not reported,,,,"Specialist follow-up, avoidance of livestock exposure","I have avoided livestock since, but I still need to stop using my e-cigarette. I am glad I still have follow up with the specialist service.",Improved with some residual symptoms,"I currently feel better, however I still have an occasional cough, perhaps not as frequent as before. I feel a little wheezy at times, but I am not short of breath and I am able to carry on doing my normal activities.",Not reported,,Healy et al. - 2023 - Diffuse pulmonary meningotheliomatosis a rare cause of multiple pulmonary nodules.pdf,,This appears to be a first-person patient narrative rather than a typical academic case report. Limited clinical details are provided.
1,We present a case of a 57-yearold woman,57,57-yearold woman,Female,57-yearold woman,Chronic cough,a history of chronic cough,Wedge resection biopsies,Wedge resections from the right upper and right lower lobes were obtained,Bilateral multiple ground-glass nodules,CT imaging findings of bilateral multiple ground-glass nodules,"Discrete areas with interstitial expansion of stroma with ovoid/spindle cells, collagen, elastosis, and mild chronic inflammatory cells in a perivascular pattern. Some areas were cystic with background emphysematous change and focal foreign body giant cell reaction.","Histologic evaluation of the wedges showed similar morphology, consisting of discrete areas with variable interstitial expansion of the stroma with ovoid/spindle cells, collagen, elastosis, and mild chronic inflammatory cells, in a somewhat perivascular pattern. Some areas were also cystic.","Positive for vimentin, EMA, and PR. CD163 positive cells were S100 and CD1a negative. Negative for desmin, SMM, HMB-45, HHV8, pan-CK, chromogranin, and multiplex SOX10-MART1.","Immunohistochemical stains were diffusely positive for vimentin, EMA, and PR, and CD163 highlighted increased cells that were S100 and CD1a negative. Additionally, the ovoid/spindle cells were negative for desmin, SMM, HMB-45, HHV8, pan-CK, chromogranin, and multiplex SOX10-MART1.",Not reported,,Not reported,,,,Forsythe et al. - 2022 - Diffuse Pulmonary Meningotheliomatosis A Case Report 1.pdf,,
1,,45,A 45-year-old female with a past medical history of hypothyroidism and hyperlipidemia,Female,A 45-year-old female with a past medical history of hypothyroidism and hyperlipidemia,Dyspnea,The patient refers to occasional bouts of dyspnea with no temporal association of years of evolution for which she uses budesonide/formoterol as needed.,Open lung biopsy,An open biopsy of the right lung was performed and pathological examination revealed meningothelial nodules,Innumerable bilateral thin-walled pulmonary cysts with thickened interlobular septa,"A high-resolution chest CT scan revealed innumerable bilateral thin-walled pulmonary cysts with thickened interlobular septa, suggestive of lymphangioleiomyomatosis (LAM)",Meningothelial nodules consistent with cavitating diffuse pulmonary meningotheliomatosis,"pathological examination revealed meningothelial nodules, with histologic findings supporting the diagnosis of cavitating diffuse pulmonary meningotheliomatosis",,,Budesonide/formoterol as needed,she uses budesonide/formoterol as needed,Not reported,,"Hypothyroidism, hyperlipidemia",A 45-year-old female with a past medical history of hypothyroidism and hyperlipidemia,Torrech Santos et al. - 2023 - Diffuse Cavitating Pulmonary Meningotheliomatosis A Rare and Elusive Pathology.pdf,,
1,We describe a case of a 58-year-old female,58,We describe a case of a 58-year-old female,Female,We describe a case of a 58-year-old female,"Dyspnea on exertion, persistent non-productive coughing, dyspepsia, nausea",presented with complaints of dyspnoea on exertion and persistent non-productive coughing for 3 months. She also complained of dyspepsia and nausea.,Thoracoscopic lung biopsy with immunohistochemistry,Thoracoscopic lung biopsy was performed,"Diffuse micronodular infiltrates in a miliary pattern bilaterally, numerous small pulmonary nodules in the lung apices bilaterally","Chest X-ray and chest computed tomography (CT) images, however, revealed diffuse micronodular infiltrates in a miliary pattern bilaterally","Pulmonary parenchyma with preserved lung architecture, numerous small stellate-shaped nodular lesions distributed throughout lung tissue, nodules comprised islands of epithelioid cells with appearance of arachnoidal cells, cells showed eosinophilic cytoplasm with bland uniform and ovoid nuclei, some featuring pseudoinclusions","histology revealing pulmonary parenchyma with preserved lung architecture. Numerous small stellate-shaped nodular lesions were distributed throughout the lung tissue... On higher magnification, the nodules comprised islands of epithelioid cells, with the appearance of arachnoidal cells. The cells showed eosinophilic cytoplasm, accompanied by bland, uniform and ovoid nuclei, some featuring pseudoinclusions.",Positive for epithelial membrane antigen (EMA) and progesterone receptor (PR),The immunohistochemical profile found the nodules to be positive for epithelial membrane antigen (EMA) and progesterone receptor (PR),Observation,No specific treatment is indicated for this condition.,Stable,"The patient was seen again in routine follow-up 6 months after her initial presentation. Her clinical condition, chest-imaging findings and lung functions remained unchanged.",Frontal lobe syndrome secondary to previous traumatic brain injury,Her history was otherwise significant only for being on treatment with lamotrigine and donepezil after a diagnosis of frontal lobe syndrome secondary to previous traumatic brain injury.,Maasdorp et al. - 2020 - Diffuse pulmonary meningotheliomatosis – A Case Report.pdf,,
1,A 63-years-old male patient was admitted to our hospital,63,A 63-years-old male patient,Male,A 63-years-old male patient,Cough and mild exertional dyspnea,patient was admitted to our hospital with cough and mild exertional dyspnea,Surgical wedge resection,The patient underwent diagnostic right lower lobe and middle lobe wedge resections,"Bilateral multiple uniform thin-walled cysts ranging between 0.5 and 2.5 cm in diameter, diffusely distributed from apex to basis of lung; micronodules smaller than 1 mm","""Thorax HRCT scan revealed bilaterally multiple, uniform, thin-walled cysts ranging between 0.5 and 2.5 cm in diameter, diffusely distributing from apex to basis of the lung"" and ""When HRCT findings were reviewed, micronodules smaller than 1 mm were identified""",Diffuse pulmonary meningotheliomatosis,Histopathological examination revealed diffuse meningotheliomatosis unexpectedly,,,Symptomatic treatment,Although the patient only received symptomatic treatment,Stable - no changes in thorax CT findings over three years,there were no changes in thorax CT findings through the three years follow up,,,Aksel et al. - 2019 - An Unusual Case of Diffuse Pulmonary Meningotheliomatosis Accompanying with Cystic Lung Disease.pdf,,This is reported as the first case in literature demonstrating diffuse meningotheliomatosis accompanied with cystic disease of the lung.
1,We report a case of diffuse MPMNs,Not reported,,Not reported,,Not reported,,Not reported,,Multiple peribronchial consolidations containing patent air bronchogram,diffuse MPMNs presenting as multiple peribronchial consolidations containing patent air bronchogram,Minute Pulmonary Meningothelial-like Nodules (diffuse involvement),Minute pulmonary meningothelial - like nodule (MPMN) [...] diffuse MPMNs,,,,,Not reported,,,,Lee et al. - 2018 - Diffuse Pulmonary Meningotheliomatosis Presenting as Multiple Peribronchial Consolidations Containin.pdf,0.7,Limited information available from abstract only. Many required fields not explicitly stated in the text.
1,We report the case of an 80-year-old woman,80,An 80-year-old woman presented to pulmonary clinic,Female,An 80-year-old woman presented,dry cough and progressive dyspnea,presented to pulmonary clinic with dry cough and progressive dyspnea over 10 months,video-assisted thoracoscopic (VATS) lung wedge biopsy,A diagnostic video-assisted thoracoscopic (VATS) lung wedge biopsy of right upper and lower lobes was performed for definitive diagnosis.,"Multiple bilateral 2-4 mm sub-solid (predominantly groundglass) lung nodules, some along fissural surfaces with mild predilection for lower lobes and peripheral lungs",High resolution chest CT showed multiple bilateral 2-4 mm sub-solid (predominantly groundglass) lung nodules. Some of these nodules were also seen along the fissural surfaces and had a mild predilection for the lower lobes and peripheral lungs.,"Multiple nodules measuring 0.5 mm to 3 mm in random distribution, composed of bland epithelioid cells forming small nests within the interstitium with variable fibrosis. Additional findings included mild chronic bronchiolitis, peribronchiolar metaplasia, and rare non-necrotizing granulomas.",The hematoxylin and eosin stain of the lung wedge biopsy showed numerous nodules measuring 0.5 mm to 3 mm in a random distribution. Each nodule was composed of a population of bland epithelioid cells forming small nests within the interstitium with associated variable amount of fibrosis,,,Observation,Management is conservative with surveillance imaging,stable,the patient has remained stable in the 6-month follow-up after VATS biopsy,"hypertension, type 2 diabetes mellitus, chronic kidney disease (CKD), gastroesophageal reflux disease (GERD)","Her past medical history was significant for hypertension and type 2 diabetes mellitus, chronic kidney disease (CKD) and gastroesophageal reflux disease (GERD)",Yun et al. - 2021 - Diffuse pulmonary meningotheliomatosis.pdf,,
1,We present the case of a 74-year-old asymptomatic female,74,74-year-old asymptomatic female,Female,74-year-old asymptomatic female,Asymptomatic,74-year-old asymptomatic female referred to the pulmonary clinic for evaluation of incidentally detected diffuse bilateral pulmonary nodules,Transbronchial biopsy,A transbronchial biopsy established a diagnosis of diffuse pulmonary meningotheliomatosis,Diffuse bilateral pulmonary nodules,incidentally detected diffuse bilateral pulmonary nodules,Diffuse pulmonary meningotheliomatosis,A transbronchial biopsy established a diagnosis of diffuse pulmonary meningotheliomatosis,,,Observation,She remains stable after more than 2 years of follow-up,Stable,She remains stable after more than 2 years of follow-up,,,Jayaschandran et al. - 2017 - An uncommon cause of miliary pattern of pulmonary nodules—diffuse pulmonary meningotheliomatosis.pdf,,
1,"Here, we present the case of a 77-year-old female",77,77-year-old female,Female,77-year-old female,Asymptomatic,She was asymptomatic,Video assisted thoracoscopic surgery (VATS) with left lower lobe wedge resection,video assisted thoracoscopic surgery (VATS) with left lower lobe wedge resection,1.1 cm nodule in left lower lobe,1.1 cm nodule,Minute Pulmonary Meningothelial-like Nodules (MPMN subtype of pulmonary meningotheliomatosis) with concurrent adenocarcinoma,Pathology results from the wedge resection indicated adenocarcinoma with negative margins as well as pulmonary meningotheliomatosis,,,"PDE5 inhibitor, endothelin receptor antagonist, prostacyclin agonist, and surveillance imaging","""She was started on a PDE5 inhibitor, an endothelin receptor antagonist, a prostacyclin agonist"" and ""surveillance imaging was planned""",Improved respiratory failure,Respiratory failure improved,"Pulmonary hypertension, severe obstructive sleep apnea, renal cell carcinoma (treated with nephrectomy), pulmonary emboli","history of pulmonary hypertension, severe obstructive sleep apnea on bilevel positive airway pressure (BiPAP), renal cell carcinoma (treated with nephrectomy 2 years prior), and pulmonary emboli",Anderson and Izquierdo - Pulmonary Meningotheliomatosis - Rare or Underrecognized.pdf,,
